mood_score,stress_level,energy_level,sleep_hours,sleep_quality,focus_level,motivation_level,restlessness_level,work_study_pressure,physical_activity_minutes,hydration_cups,social_withdrawal,burnout_score,burnout_risk,stress_score,stress_class,mood_wellbeing_score,mood_class
1,2,3,4.9,4,3,1,5,5,76,5,1,61.24,moderate,87.15,high,36.55,low
4,1,5,7.1,3,3,4,5,1,16,10,1,36.39,mild,30.38,mild,66.03,good
4,2,2,6.2,3,3,4,1,3,2,1,4,33.63,mild,34.54,mild,69.6,good
2,3,5,4.4,3,5,3,2,3,11,2,2,39.99,mild,27.96,low,70.81,good
1,5,3,8.0,4,4,5,1,1,41,7,1,53.65,moderate,18.55,low,83.31,good
5,2,5,5.8,2,1,5,3,3,60,10,5,34.54,mild,72.37,high,53.26,neutral
3,4,3,6.1,5,5,1,3,2,77,12,3,51.56,moderate,22.47,low,43.7,neutral
5,4,4,6.0,2,1,5,1,3,63,7,3,41.92,mild,42.28,mild,53.42,neutral
4,2,2,9.0,1,1,2,3,2,44,8,2,45.76,moderate,43.67,mild,20.76,low
4,5,4,6.7,4,3,4,1,1,88,3,4,46.32,moderate,16.32,low,67.2,good
4,3,2,6.9,4,2,5,3,4,104,5,2,45.93,moderate,60.75,moderate,40.95,neutral
1,1,4,6.0,2,4,3,2,3,26,4,3,28.21,mild,44.54,mild,58.84,neutral
2,5,4,7.6,4,4,5,5,5,31,1,1,53.51,moderate,72.77,high,66.31,good
3,5,3,9.2,4,1,5,4,5,112,4,2,52.02,moderate,63.54,moderate,39.66,low
3,1,3,8.0,4,3,3,4,2,117,2,1,41.43,mild,14.57,low,58.1,neutral
1,5,2,8.0,5,4,1,5,2,37,7,2,73.39,elevated,59.84,moderate,50.85,neutral
3,5,4,7.9,5,4,3,1,5,61,9,2,59.63,moderate,40.14,mild,77.33,good
1,5,3,4.3,3,3,5,2,2,69,12,4,60.97,moderate,47.7,mild,44.64,neutral
4,2,3,5.2,2,4,2,4,1,76,11,5,38.17,mild,38.5,mild,39.15,low
4,4,1,6.4,1,3,5,4,3,104,4,3,56.97,moderate,49.19,mild,27.78,low
5,3,1,5.5,3,2,1,1,5,12,12,5,49.63,moderate,63.95,moderate,13.53,low
4,4,1,4.9,4,3,4,2,2,63,12,2,64.54,moderate,12.7,low,63.61,neutral
2,4,5,3.4,4,4,4,2,4,26,6,3,60.32,moderate,46.39,mild,69.18,good
5,4,5,4.4,1,1,1,1,2,91,2,4,54.48,moderate,58.21,moderate,36.95,low
3,3,1,6.3,4,4,3,4,2,72,10,1,51.39,moderate,37.67,mild,41.87,neutral
2,4,1,6.7,4,2,1,1,3,90,1,3,55.24,moderate,37.72,mild,43.26,neutral
5,3,4,5.4,4,1,2,5,1,109,4,5,36.0,mild,67.43,moderate,27.85,low
2,1,3,6.9,3,4,5,3,2,95,6,3,12.83,low,39.44,mild,62.8,neutral
1,1,2,6.0,1,2,1,4,2,103,11,5,58.25,moderate,45.03,mild,12.33,low
3,5,4,8.8,3,3,5,3,5,98,12,4,52.97,moderate,65.47,moderate,47.23,neutral
4,5,2,6.5,4,4,4,5,2,75,10,1,50.38,moderate,56.11,moderate,67.32,good
1,3,1,8.1,3,3,4,2,5,47,6,3,57.39,moderate,54.78,moderate,25.33,low
3,1,2,7.2,3,4,2,3,1,40,1,2,36.11,mild,41.81,mild,44.57,neutral
1,4,5,4.3,3,5,5,1,3,43,10,5,53.1,moderate,48.9,mild,81.37,good
4,1,4,6.6,3,4,2,5,2,73,11,2,18.57,low,41.42,mild,48.74,neutral
3,2,1,4.6,2,1,3,3,3,97,6,3,63.6,moderate,51.43,moderate,12.13,low
2,2,3,6.6,4,2,1,1,4,44,7,4,44.5,mild,49.16,mild,37.65,low
2,1,5,5.5,2,3,5,5,5,70,11,5,49.59,moderate,96.99,high,52.41,neutral
3,5,5,7.5,3,3,4,5,4,50,1,3,60.58,moderate,50.79,moderate,68.47,good
4,3,4,4.4,3,2,1,1,3,73,10,5,57.62,moderate,49.59,mild,46.63,neutral
5,2,1,6.8,4,1,4,5,3,99,6,1,41.79,mild,36.87,mild,54.05,neutral
3,3,2,7.8,5,1,1,4,5,49,8,5,60.84,moderate,67.98,moderate,24.88,low
1,1,2,8.4,4,1,3,2,5,48,2,2,57.04,moderate,42.71,mild,42.96,neutral
5,3,1,5.4,1,5,3,4,4,24,8,4,40.86,mild,72.79,high,28.63,low
4,3,1,6.8,4,2,5,4,1,60,3,3,33.09,mild,29.54,low,65.69,good
4,2,2,7.1,2,5,2,3,2,55,6,4,36.1,mild,49.63,mild,43.08,neutral
1,5,3,9.6,1,2,1,4,2,19,6,1,60.15,moderate,48.37,mild,29.68,low
2,2,2,4.1,1,2,3,1,2,117,12,3,49.38,moderate,38.36,mild,42.32,neutral
4,1,3,5.2,5,3,5,5,5,104,8,1,31.5,mild,49.55,mild,57.84,neutral
5,3,2,11.0,3,5,4,5,1,35,7,3,40.47,mild,44.74,mild,54.25,neutral
3,5,1,6.3,2,3,1,2,5,114,5,3,69.16,moderate,67.06,moderate,23.57,low
5,2,5,3.4,1,1,1,3,5,32,4,2,61.62,moderate,89.25,high,38.11,low
5,1,3,5.8,4,2,4,2,3,50,8,3,32.61,mild,48.42,mild,62.28,neutral
2,5,2,2.5,4,5,4,2,2,15,11,2,54.13,moderate,31.61,mild,65.61,good
5,3,5,7.2,2,1,3,2,2,74,7,1,29.25,mild,43.4,mild,59.91,neutral
2,1,5,8.3,1,5,1,5,4,58,8,1,40.9,mild,69.69,moderate,55.18,neutral
2,4,5,5.2,2,5,2,4,4,32,4,2,54.07,moderate,67.26,moderate,48.75,neutral
4,2,1,6.0,4,2,5,5,3,34,7,4,64.73,moderate,47.42,mild,44.01,neutral
4,5,4,8.5,1,3,1,4,3,113,7,3,46.81,moderate,57.12,moderate,12.21,low
1,2,5,3.6,2,3,2,4,5,83,8,1,49.01,moderate,58.83,moderate,54.67,neutral
5,3,5,4.4,1,4,3,1,4,18,4,3,32.71,mild,56.5,moderate,52.99,neutral
1,3,2,6.4,3,4,4,5,4,16,4,3,59.5,moderate,78.63,high,40.95,neutral
5,2,5,5.4,1,1,5,4,2,8,4,2,38.1,mild,66.8,moderate,59.02,neutral
1,3,3,6.3,1,2,3,1,1,29,5,1,43.48,mild,21.67,low,54.2,neutral
4,1,3,4.5,1,5,3,1,3,89,3,2,41.49,mild,44.38,mild,73.38,good
4,4,3,7.2,4,2,2,4,2,7,2,1,49.67,moderate,41.17,mild,35.58,low
4,4,4,6.5,3,2,1,2,2,30,6,2,52.93,moderate,36.88,mild,40.2,neutral
4,5,1,7.8,5,4,2,2,3,5,11,3,59.94,moderate,18.3,low,47.33,neutral
3,2,3,7.2,2,1,2,2,5,78,0,5,37.27,mild,83.87,high,21.44,low
4,2,5,7.2,2,1,1,5,5,98,8,5,57.65,moderate,77.93,high,35.69,low
2,3,3,4.2,2,4,4,2,4,64,10,4,43.01,mild,54.57,moderate,51.91,neutral
4,4,2,7.7,5,1,2,2,4,109,10,2,50.94,moderate,52.99,moderate,46.33,neutral
3,5,1,6.2,3,5,3,2,3,83,11,5,56.06,moderate,38.45,mild,42.26,neutral
3,1,3,6.5,2,2,2,1,3,92,4,5,41.68,mild,49.49,mild,42.11,neutral
3,2,4,8.7,4,1,3,1,3,37,1,2,27.68,mild,37.71,mild,49.84,neutral
3,2,3,5.5,3,4,1,3,5,104,12,1,55.69,moderate,58.15,moderate,55.75,neutral
1,2,5,9.2,1,1,4,1,5,76,9,3,40.45,mild,69.06,moderate,37.4,low
1,3,4,9.4,4,2,4,4,3,10,4,3,57.88,moderate,55.8,moderate,54.59,neutral
2,5,3,8.2,1,2,2,3,4,9,11,4,58.25,moderate,69.42,moderate,17.64,low
1,1,1,5.0,1,3,2,3,1,108,4,1,49.61,moderate,29.39,low,37.9,low
3,5,3,2.9,4,3,4,2,3,33,9,3,70.69,elevated,30.55,mild,65.57,good
4,4,1,8.7,3,1,2,4,5,56,12,2,82.56,elevated,82.12,high,9.25,low
4,4,4,7.0,2,2,1,3,4,92,9,3,40.66,mild,71.28,high,42.98,neutral
3,4,1,5.5,1,1,2,1,3,93,8,1,55.31,moderate,50.59,moderate,16.91,low
5,1,5,8.9,3,1,5,3,2,3,2,3,22.23,low,49.45,mild,71.6,good
3,4,2,5.2,4,4,3,1,5,74,12,1,68.15,moderate,34.85,mild,57.48,neutral
1,2,3,6.0,2,3,2,3,5,110,5,5,59.49,moderate,51.72,moderate,31.04,low
4,3,1,7.7,3,1,3,3,2,42,8,4,56.79,moderate,44.62,mild,38.53,low
3,4,2,4.8,2,2,2,3,5,65,7,5,71.9,elevated,61.72,moderate,21.85,low
4,4,5,6.6,5,4,4,2,3,32,3,4,24.81,low,35.26,mild,82.96,good
3,2,2,8.8,4,2,3,3,2,87,7,5,29.01,mild,56.05,moderate,41.81,neutral
3,2,3,7.2,2,3,3,4,2,14,5,2,35.66,mild,39.99,mild,33.05,low
1,3,5,9.0,3,4,3,5,3,62,4,1,65.57,moderate,46.64,mild,64.26,neutral
3,1,4,8.8,5,4,3,5,3,49,11,5,36.45,mild,44.26,mild,55.01,neutral
4,4,1,6.8,2,4,3,1,4,77,9,4,59.74,moderate,48.14,mild,48.14,neutral
2,1,2,2.6,1,2,2,4,1,59,6,4,44.85,mild,56.7,moderate,17.59,low
4,3,2,4.8,2,3,5,1,3,118,0,2,40.55,mild,32.13,mild,65.3,good
1,4,2,8.2,4,5,2,3,4,118,9,2,61.04,moderate,50.96,moderate,47.07,neutral
2,1,2,4.0,5,5,5,4,5,34,9,4,34.55,mild,86.54,high,65.5,good
3,5,3,6.2,2,1,4,3,2,4,2,3,58.68,moderate,61.02,moderate,35.46,low
5,2,2,7.4,1,5,3,5,4,59,9,1,31.68,mild,61.18,moderate,37.28,low
2,1,2,9.4,1,5,2,5,2,71,5,2,52.78,moderate,50.77,moderate,32.68,low
2,4,3,5.8,3,5,3,5,4,90,9,2,58.22,moderate,54.9,moderate,69.58,good
3,3,2,5.6,1,2,5,4,2,63,10,5,58.94,moderate,58.07,moderate,35.74,low
5,4,2,6.7,1,3,1,4,4,70,9,2,63.75,moderate,75.05,high,30.98,low
5,4,3,7.4,4,1,3,5,3,2,12,3,46.8,moderate,68.19,moderate,52.34,neutral
1,3,5,6.5,5,1,4,2,2,92,0,3,49.4,moderate,21.75,low,81.86,good
2,5,3,8.7,2,3,4,2,3,39,4,1,49.4,moderate,44.93,mild,51.0,neutral
5,2,3,5.4,3,2,1,2,4,46,0,3,50.32,moderate,65.23,moderate,48.94,neutral
1,3,5,7.0,3,2,3,4,4,51,2,2,35.74,mild,57.74,moderate,71.85,good
5,1,4,7.6,4,2,1,2,4,8,4,5,29.1,mild,50.77,moderate,45.19,neutral
2,4,2,6.1,5,3,5,1,4,59,0,2,65.79,moderate,41.25,mild,61.28,neutral
5,2,2,8.3,5,1,2,4,5,46,5,2,49.87,moderate,70.94,high,26.36,low
2,4,3,7.1,2,5,3,4,3,28,1,3,58.13,moderate,54.07,moderate,55.52,neutral
3,5,3,8.2,5,4,5,3,3,29,1,2,37.81,mild,36.03,mild,74.52,good
4,5,1,7.1,1,4,3,5,3,4,10,3,53.04,moderate,66.21,moderate,31.21,low
1,5,1,7.5,5,5,1,4,3,107,9,4,59.89,moderate,37.5,mild,28.22,low
3,1,2,5.7,1,4,5,5,1,35,5,5,39.66,mild,44.14,mild,49.76,neutral
3,1,5,5.7,1,2,4,2,5,105,7,5,58.07,moderate,61.69,moderate,59.65,neutral
4,5,4,9.0,1,5,4,1,3,101,3,2,52.63,moderate,42.53,mild,72.52,good
5,2,5,7.9,1,3,1,2,3,55,6,4,37.46,mild,52.68,moderate,40.69,neutral
4,1,1,5.0,3,3,3,5,5,97,10,2,49.33,moderate,79.04,high,29.38,low
3,2,3,7.1,4,3,3,5,3,25,6,5,50.85,moderate,51.25,moderate,36.25,low
3,5,3,2.5,4,1,2,1,3,21,10,1,50.15,moderate,40.92,mild,41.68,neutral
3,2,3,5.8,1,5,3,5,3,108,6,5,33.61,mild,67.73,moderate,40.78,neutral
5,1,3,8.5,2,5,2,3,5,78,4,2,40.62,mild,70.79,high,49.32,neutral
2,4,2,6.6,1,4,3,5,2,83,11,4,59.83,moderate,65.77,moderate,31.6,low
1,1,1,7.0,1,2,5,4,1,111,11,4,35.61,mild,43.23,mild,30.46,low
2,2,5,2.5,4,5,4,1,1,1,2,2,14.79,low,19.04,low,95.31,good
1,1,5,6.1,4,1,2,3,4,20,6,5,55.66,moderate,56.77,moderate,45.12,neutral
1,4,1,7.4,2,2,2,1,1,116,10,2,50.8,moderate,0.16,low,27.29,low
1,3,3,7.6,2,1,1,2,4,15,3,4,66.52,moderate,76.71,high,32.0,low
4,5,3,8.5,5,2,2,4,5,54,9,5,58.36,moderate,65.9,moderate,43.17,neutral
4,2,4,6.4,3,2,1,4,4,2,11,1,44.32,mild,68.81,moderate,38.09,low
4,2,5,6.5,2,4,1,4,1,39,3,5,32.63,mild,37.33,mild,49.19,neutral
3,1,3,4.4,5,2,5,4,4,20,1,5,43.13,mild,57.74,moderate,61.54,neutral
4,2,4,6.4,1,5,5,1,3,30,12,2,31.31,mild,31.54,mild,75.81,good
1,3,5,4.5,2,2,3,3,1,98,12,5,49.96,moderate,49.61,mild,58.92,neutral
5,1,5,3.5,4,3,4,3,1,33,11,1,17.73,low,29.7,low,80.47,good
3,3,2,4.8,3,3,3,3,4,98,7,1,56.36,moderate,58.28,moderate,38.9,low
5,5,5,9.5,1,5,4,2,3,108,1,4,49.74,moderate,44.09,mild,63.63,neutral
1,4,3,6.3,5,4,5,4,3,65,11,5,41.32,mild,48.0,mild,67.13,good
3,4,1,7.2,2,5,1,4,4,65,2,1,58.09,moderate,45.44,mild,20.56,low
4,5,4,5.9,4,5,2,3,3,40,2,4,44.52,mild,54.57,moderate,52.38,neutral
3,4,5,3.6,2,1,1,1,5,80,9,1,60.28,moderate,51.11,moderate,40.28,neutral
3,4,2,8.5,4,1,4,1,1,97,5,4,57.14,moderate,17.88,low,60.92,neutral
1,5,3,2.9,5,3,5,2,2,104,11,5,61.12,moderate,33.69,mild,54.17,neutral
2,1,2,5.8,4,1,4,3,1,23,11,3,56.29,moderate,56.52,moderate,47.62,neutral
2,5,1,6.7,5,3,4,5,3,83,10,1,58.53,moderate,52.32,moderate,52.18,neutral
2,2,5,7.2,3,3,3,4,5,16,10,2,42.03,mild,57.85,moderate,65.58,good
4,4,1,5.5,1,2,1,3,3,59,7,3,63.79,moderate,67.96,moderate,29.15,low
4,5,3,3.5,3,1,4,2,2,10,11,4,58.73,moderate,52.75,moderate,48.94,neutral
4,3,1,5.4,3,5,5,1,1,66,11,3,35.75,mild,19.2,low,80.28,good
2,1,4,5.5,4,2,5,1,2,103,3,3,22.41,low,35.82,mild,77.14,good
5,2,5,5.4,2,5,2,1,2,98,5,4,26.25,mild,31.76,mild,71.76,good
1,3,4,8.5,4,4,2,5,1,86,8,5,41.93,mild,42.31,mild,48.98,neutral
2,5,4,4.6,3,4,4,1,1,69,11,4,55.93,moderate,9.68,low,76.38,good
1,5,5,7.3,4,4,1,5,4,75,5,1,42.24,mild,66.34,moderate,62.95,neutral
2,3,5,7.1,3,2,1,3,4,12,3,1,51.24,moderate,48.68,mild,42.24,neutral
5,5,5,8.5,2,2,5,4,4,88,4,2,34.78,mild,54.64,moderate,41.91,neutral
2,3,2,6.6,2,5,5,5,1,82,10,2,45.21,moderate,33.56,mild,62.19,neutral
5,3,3,8.2,5,4,3,4,5,17,6,4,38.76,mild,56.07,moderate,52.03,neutral
3,5,5,6.5,1,2,3,1,3,76,3,5,41.09,mild,45.57,mild,62.5,neutral
4,4,2,7.6,2,4,3,5,3,46,9,3,58.26,moderate,65.18,moderate,35.69,low
3,3,4,4.1,3,2,1,1,5,61,8,5,37.92,mild,73.81,high,31.86,low
2,3,1,2.5,1,5,2,3,2,98,6,3,60.95,moderate,30.37,mild,24.63,low
4,4,5,7.5,5,3,2,4,3,38,8,4,46.03,moderate,41.37,mild,56.96,neutral
5,4,4,7.6,2,2,5,2,1,110,2,4,46.14,moderate,30.19,mild,86.34,good
2,3,4,7.7,2,4,3,4,3,50,2,2,32.96,mild,48.81,mild,42.81,neutral
4,1,5,5.9,2,4,4,4,2,62,10,4,23.93,low,65.2,moderate,56.57,neutral
2,1,2,9.5,1,2,1,5,1,3,8,3,62.51,moderate,48.23,mild,22.07,low
4,1,3,6.0,4,4,5,5,4,14,12,3,42.24,mild,74.73,high,78.55,good
4,3,5,7.6,3,2,5,2,1,34,12,2,35.47,mild,23.86,low,83.68,good
3,4,1,7.9,2,2,3,4,5,118,4,2,84.08,elevated,86.86,high,36.67,low
4,5,5,9.9,5,5,2,5,2,31,6,5,43.46,mild,41.47,mild,65.92,good
2,2,2,6.2,4,4,5,1,1,47,11,4,34.62,mild,12.96,low,58.63,neutral
1,4,3,5.6,3,1,5,4,3,103,0,1,55.61,moderate,55.67,moderate,50.66,neutral
1,4,3,4.1,3,4,3,5,2,38,11,3,44.25,mild,63.67,moderate,51.75,neutral
3,1,4,9.6,4,2,2,1,4,98,2,4,39.1,mild,49.66,mild,50.84,neutral
5,2,5,7.6,1,2,4,4,4,14,3,4,23.37,low,75.06,high,49.04,neutral
1,2,2,7.6,5,3,2,1,3,16,6,5,41.46,mild,37.91,mild,51.98,neutral
3,5,1,11.0,2,3,4,3,3,1,9,4,55.68,moderate,50.8,moderate,32.05,low
4,5,3,7.4,1,5,5,5,4,15,4,1,53.63,moderate,65.21,moderate,49.58,neutral
2,5,4,4.5,3,3,3,5,4,73,12,3,58.94,moderate,64.68,moderate,40.61,neutral
4,3,4,6.4,5,2,1,4,1,10,10,2,23.86,low,43.2,mild,55.64,neutral
2,3,4,5.0,4,4,3,4,3,74,9,1,51.23,moderate,47.71,mild,65.6,good
5,2,2,6.1,2,3,5,2,4,72,10,5,34.53,mild,66.22,moderate,56.23,neutral
3,4,5,6.1,2,1,2,5,2,28,0,1,50.75,moderate,38.13,mild,59.38,neutral
3,1,1,5.7,3,4,5,4,5,4,10,2,36.08,mild,71.56,high,37.09,low
1,2,1,4.3,2,3,2,5,3,19,7,2,72.75,elevated,62.59,moderate,25.94,low
3,1,1,9.7,5,3,4,4,2,17,2,3,41.4,mild,26.48,low,50.11,neutral
5,3,5,7.3,2,1,4,1,2,63,10,4,26.79,mild,40.71,mild,48.96,neutral
1,2,1,6.4,2,3,1,3,4,112,1,2,45.28,moderate,43.79,mild,17.02,low
4,1,4,8.2,1,4,1,4,4,52,8,4,61.64,moderate,73.74,high,48.03,neutral
3,2,5,7.6,4,4,5,4,2,76,7,1,38.31,mild,44.58,mild,79.44,good
4,5,4,7.3,1,4,4,2,1,36,0,5,55.64,moderate,18.74,low,55.36,neutral
4,3,5,8.0,5,5,4,1,1,11,4,5,15.89,low,10.62,low,89.08,good
3,5,1,7.0,5,3,2,5,3,26,1,3,57.7,moderate,48.4,mild,43.79,neutral
2,5,3,8.0,1,3,1,5,5,57,12,1,73.32,elevated,58.98,moderate,22.56,low
4,5,3,8.2,1,3,2,5,5,103,10,4,59.15,moderate,92.99,high,27.77,low
1,2,4,7.1,5,2,3,4,3,30,12,4,35.97,mild,55.34,moderate,39.22,low
3,5,4,6.4,1,2,4,5,3,119,6,4,73.06,elevated,90.69,high,49.83,neutral
1,5,3,9.6,3,4,2,3,3,77,4,2,61.68,moderate,48.7,mild,51.27,neutral
4,5,2,5.9,5,2,2,4,2,43,12,3,45.35,moderate,33.43,mild,50.33,neutral
4,2,1,7.5,1,4,2,3,3,75,3,3,53.52,moderate,55.63,moderate,12.81,low
1,2,3,7.5,4,4,5,4,5,84,5,4,40.61,mild,74.56,high,58.33,neutral
4,3,2,5.7,2,5,4,1,4,82,1,2,25.82,mild,37.52,mild,62.71,neutral
3,5,3,5.3,3,1,5,2,2,104,10,3,43.56,mild,50.08,moderate,53.29,neutral
4,5,4,6.2,5,2,1,2,1,80,1,5,44.41,mild,5.62,low,54.16,neutral
1,3,3,5.9,4,4,3,3,4,3,0,3,55.62,moderate,63.12,moderate,51.97,neutral
1,1,3,4.2,2,3,3,5,5,45,10,3,59.21,moderate,90.07,high,34.42,low
3,3,1,5.6,5,4,3,1,1,109,10,5,50.04,moderate,0.0,low,64.59,neutral
1,4,4,7.3,3,4,2,4,2,25,11,5,52.0,moderate,49.3,mild,41.36,neutral
2,3,3,9.1,1,5,1,5,5,60,11,3,58.33,moderate,59.97,moderate,29.6,low
4,2,1,7.8,2,2,1,4,2,60,1,2,58.53,moderate,43.03,mild,22.76,low
1,2,2,2.5,2,2,4,4,1,67,4,1,61.78,moderate,51.61,moderate,54.75,neutral
4,1,4,8.0,4,3,3,1,2,105,9,5,22.4,low,27.66,low,62.77,neutral
1,2,5,5.8,5,3,1,4,2,65,4,3,45.56,moderate,49.83,mild,68.0,good
1,4,3,7.6,1,5,2,2,3,0,10,3,51.57,moderate,43.25,mild,45.31,neutral
3,2,5,6.8,4,1,5,2,5,29,11,5,30.21,mild,64.41,moderate,65.21,good
4,5,1,6.5,5,2,3,5,5,76,12,2,79.05,elevated,77.16,high,35.15,low
1,1,2,6.6,5,5,5,4,3,94,10,1,27.41,mild,31.06,mild,76.24,good
2,3,5,6.8,4,4,1,5,1,78,10,4,44.67,mild,37.52,mild,63.83,neutral
5,3,1,9.2,2,4,1,3,2,88,7,5,37.65,mild,47.98,mild,17.35,low
5,5,4,6.8,1,2,3,2,1,29,1,1,49.8,moderate,31.14,mild,55.49,neutral
3,5,2,8.8,5,4,4,5,1,11,5,5,42.14,mild,47.75,mild,64.33,neutral
3,3,2,8.5,3,2,5,4,2,114,12,3,58.4,moderate,42.28,mild,63.44,neutral
2,4,3,8.0,2,4,3,5,1,68,11,3,64.49,moderate,35.42,mild,43.18,neutral
4,4,2,3.6,4,1,2,1,3,89,3,5,64.59,moderate,39.38,mild,40.06,neutral
3,3,5,8.8,4,2,3,3,2,115,9,2,38.06,mild,17.53,low,63.72,neutral
2,1,5,6.0,5,4,2,5,4,22,3,4,39.18,mild,72.52,high,63.03,neutral
1,3,3,8.1,5,4,1,5,3,105,5,1,49.65,moderate,33.96,mild,41.16,neutral
1,2,3,5.0,5,5,1,4,5,44,8,4,57.33,moderate,58.3,moderate,46.39,neutral
5,3,1,4.7,1,5,4,1,3,75,6,1,41.64,mild,51.0,moderate,51.05,neutral
3,4,2,10.4,1,1,4,3,1,46,7,1,62.8,moderate,42.88,mild,33.49,low
3,2,1,5.1,2,1,1,1,5,24,1,2,53.84,moderate,67.4,moderate,26.34,low
3,2,5,8.9,4,2,3,5,2,106,3,2,49.99,moderate,35.2,mild,50.65,neutral
4,5,2,7.0,3,5,5,4,4,42,10,4,46.73,moderate,69.47,moderate,61.05,neutral
1,2,2,6.0,5,3,5,1,4,2,8,5,39.27,mild,41.57,mild,41.82,neutral
1,1,5,6.7,5,5,3,4,5,18,10,5,41.63,mild,50.76,moderate,66.71,good
2,4,4,4.5,5,1,1,4,4,116,12,4,67.58,moderate,56.16,moderate,44.09,neutral
3,4,4,6.8,1,5,4,1,3,99,4,1,25.36,mild,48.45,mild,72.95,good
4,5,1,4.9,4,1,3,1,2,80,3,4,54.58,moderate,30.85,mild,37.91,low
3,4,3,6.1,5,5,5,2,3,94,4,3,20.18,low,20.02,low,76.32,good
3,5,3,8.5,5,5,3,1,4,78,7,3,39.82,mild,26.88,low,71.04,good
5,3,2,7.3,2,2,4,3,3,110,3,3,38.28,mild,53.76,moderate,49.11,neutral
1,2,4,4.1,4,2,3,5,1,12,5,5,54.34,moderate,52.41,moderate,66.54,good
3,5,5,8.3,3,3,3,1,2,7,2,2,38.03,mild,29.92,low,59.42,neutral
